Summary_200,Summary_300,Summary_400,Classification
,,,
,,,
,,,
,,,
,,,
,,,
「チェック内容」に関する聴取内容は、「当日確認事項」が繰り返されています。,「チェック内容」に関する聴取内容は、「当日確認事項」が繰り返されています。,当日の確認事項に関するヒアリング内容について、チェック内容の質問に対するものである。,{}
,,,
昨年の内部監査でOBS5件、OFI4件の指摘があった実施状況を抜粋して確認する。,昨年の内部監査での指摘事項について、OBS（観察事項）が5件、OFI（改善機会）が4件あったことを確認し、それらの実施状況を抜粋して検証します。これは2023年度の内部監査不適合事項の実施状況を確認するためのものです。,昨年の内部監査での指摘事項について、OBS（観察事項）が5件、OFI（改善機会）が4件あったことを踏まえ、それらの実施状況を抜粋して確認することになりました。これは2023年度の内部監査不適合事項の実施状況を検証するためのものです。,"{'OBS': 3, 'OFI': 3}"
昨年のOBS指摘に基づき、改訂された自部門の「文書リスト」の最新版管理と手順書の見直し期限の確認が必要です。見直し期限切れの文書があり、対応が求められています。,昨年のOBS指摘に基づき、自部門の「文書リスト」を改訂しましたが、見直し期限が過ぎた基準書や手順書があることが確認されました。これに対し、優先順位をつけて見直しを行い、リストの更新を進めるとともに、次年度の内部監査で再確認する予定です。,昨年のOBS指摘に基づき、自部門が発行した「文書リスト」を改訂しました。最新版の管理状況の確認が求められており、手順書の見直し期限が切れている文書がないかのチェックが必要です。デンカ電子承認システムに保管されている文書リストには、見直し期限が過ぎている基準書や手順書があることが確認されました。これらに対しては、優先順位をつけて見直しを進め、リストの更新を行い、次年度の内部監査で再確認する計画です。,{'OBS': 3}
現場確認で品質関連の掲示物の有無をチェックし、認定者リストは品質掲示物として工場規則に基づき掲示が必要。不要な検査員リストは撤去し、写真で撤去確認を実施。,現場確認時に品質に関わる掲示物の有無を確認することが重要です。認定者リストの掲示は品質に関わるものとして、工場共通規則「文書管理規則：FR-HK-005 第35版」に基づき必要ですが、検査員認定リストは不要と判断され撤去されました。撤去の証拠として写真が確認されています。,現場確認時に品質に関わる掲示物の有無をチェックすることが重要です。認定者リストの掲示は品質に関わるものとして、工場共通規則「文書管理規則：FR-HK-005 第35版」に基づき必要ですが、検査員認定リストは不要と判断され撤去されました。撤去の証拠として写真が確認されています。,{}
昨年のOBS指摘に基づき、「校正対象機器リスト」を最新様式で更新し、管理状況の確認を求められています。電子承認システムにはリストが2つ存在し、最新版は9月15日に更新されています。,昨年のOBS指摘に基づき、「校正対象機器リスト」を最新様式で更新し、管理状況の確認が求められています。電子承認システムにはリストが2つ存在し、2023年6月26日改定の最新版に更新が必要であることが確認され、9月15日に最新様式版への更新とアップロードが完了していることが確認されました。,昨年のOBS指摘に基づき、「校正対象機器リスト」を最新様式に修正しました。管理状況の確認を求められており、電子承認システム上にリストが2つ存在することが判明しました。また、校正対象機器リスト：LI-TS-005（2023年6月26日改定）が旧様式であったため、最新版への更新が必要であることが確認されました。その後、最新様式に更新され、9月15日に電子承認システムにアップロードされたことが確認されています。,{'OBS': 3}
